Jersey Number,Player Name,Position,Height,Weight,Birthdate,Experience,College
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",4,Oregon
9,Derrick White,SG,6-4,190,"July 2, 1994",7,"Colorado-Colorado Springs, Colorado"
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",7,Duke
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",15,UCLA
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",8,California
88,Neemias Queta,C,7-0,245,"July 13, 1999",3,Utah State University
40,Luke Kornet,C,7-2,250,"July 15, 1995",7,Vanderbilt
42,Al Horford,C,6-9,240,"June 3, 1986",17,Florida
30,Sam Hauser,PF,6-8,215,"December 8, 1997",3,"Marquette, Virginia"
27,Jordan Walsh,PF,6-7,205,"March 3, 2004",1,Arkansas
26,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",4,Michigan State
8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",8,
44,Jaden Springer,SG,6-4,204,"September 25, 2002",3,Tennessee
13,Drew Peterson  (TW),PF,6-9,205,"November 9, 1999",1,"Rice University, USC"
20,JD Davison  (TW),PG,6-1,195,"October 3, 2002",2,Alabama
55,Baylor Scheierman,SG,6-6,205,"September 26, 2000",R,"South Dakota State, Creighton"
,Anton Watson  (TW),SF,6-8,225,"October 6, 2000",R,Gonzaga
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",6,Villanova
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",6,Villanova
8,OG Anunoby,PF,6-7,232,"July 17, 1997",7,Indiana
3,Josh Hart,SG,6-4,215,"March 6, 1995",7,Villanova
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",9,Kentucky
20,Jericho Sims,C,6-10,245,"October 20, 1998",3,Texas
2,Miles McBride,PG,6-2,200,"September 8, 2000",3,West Virginia
1,Cameron Payne,PG,6-3,183,"August 8, 1994",9,Murray State
13,Tyler Kolek,PG,6-1,195,"March 27, 2001",R,"George Mason, Marquette"
55,Ariel Hukporti,C,7-0,246,"April 11, 2002",R,
4,Pacome Dadiet,SG,6-7,210,"July 27, 2005",R,
5,Precious Achiuwa,PF,6-8,225,"September 19, 1999",4,Memphis
0,Jacob Toppin  (TW),SF,6-9,205,"May 8, 2000",1,"Rhode Island, Kentucky"
44,Landry Shamet,SG,6-4,190,"March 13, 1997",6,Wichita State
,Kevin McCullar Jr.  (TW),SF,6-6,210,"March 15, 2001",R,"Texas Tech, Kansas"
,Boo Buie  (TW),G,6-2,180,"December 7, 1999",R,Northwestern
,Mitchell Robinson,C,7-0,240,"April 1, 1998",6,Western Kentucky
9,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",9,Kansas
28,Guerschon Yabusele,PF,6-8,260,"December 17, 1995",2,
5,Andre Drummond,C,6-11,279,"August 10, 1993",12,UConn
1,KJ Martin,PF,6-6,215,"January 6, 2001",4,
20,Jared McCain,SG,6-2,195,"February 20, 2004",R,Duke
16,Caleb Martin,SF,6-5,205,"September 28, 1995",5,"NC State, Nevada"
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",4,Kentucky
14,Ricky Council IV,SF,6-6,205,"August 3, 2001",1,"Wichita State, Arkansas"
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",18,Villanova
23,Eric Gordon,SG,6-3,215,"December 25, 1988",16,Indiana
8,Paul George,PF,6-8,220,"May 2, 1990",14,Fresno State
30,Adem Bona,C,6-10,235,"March 28, 2003",R,UCLA
0,Reggie Jackson,PG,6-2,208,"April 16, 1990",13,Boston College
11,Jeff Dowtin  (TW),PG,6-3,185,"May 10, 1997",3,Rhode Island
21,Joel Embiid,C,7-0,280,"March 16, 1994",8,Kansas
19,Justin Edwards  (TW),SF,6-6,203,"December 16, 2003",R,Kentucky
,Pete Nance  (TW),PF,6-11,230,"February 19, 2000",1,"Northwestern, UNC"
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",5,"Pitt, UNC"
22,Jalen Wilson,PF,6-8,225,"November 4, 2000",1,Kansas
45,Keon Johnson,SG,6-5,186,"March 10, 2002",3,Tennessee
7,Shake Milton,SG,6-5,205,"September 26, 1996",6,SMU
33,Nic Claxton,C,6-11,215,"April 17, 1999",5,Georgia
10,Ben Simmons,PG,6-10,240,"July 20, 1996",6,LSU
1,Ziaire Williams,SF,6-9,215,"September 12, 2001",3,Stanford
21,Noah Clowney,PF,6-10,210,"July 14, 2004",1,Alabama
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",8,Florida
24,Cam Thomas,SG,6-4,210,"October 13, 2001",3,LSU
9,Trendon Watford,PF,6-9,240,"November 9, 2000",3,LSU
13,Tyrese Martin  (TW),SG,6-6,215,"March 7, 1999",1,"Rhode Island, UConn"
20,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",3,UNC
0,Dariq Whitehead,SF,6-7,220,"August 1, 2004",1,Duke
,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",10,
,De'Anthony Melton,PG,6-2,200,"May 28, 1998",6,USC
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",2,Kansas
2,Jonathan Mogbo,PF,6-9,225,"October 29, 2001",R,"Missouri State, San Francisco"
45,Davion Mitchell,PG,6-2,205,"September 5, 1998",3,"Auburn, Baylor"
25,Chris Boucher,PF,6-9,200,"January 11, 1993",7,"New Mexico Junior College, Northwest College, Oregon"
77,Jamison Battle  (TW),SF,6-7,220,"May 10, 2001",R,"George Washington, Minnesota, Ohio State"
23,Jamal Shead,PG,6-0,200,"June 24, 2002",R,Houston
19,Jakob Poeltl,C,7-0,245,"October 15, 1995",8,Utah
9,RJ Barrett,SG,6-6,214,"June 14, 2000",5,Duke
1,Gradey Dick,SG,6-6,205,"November 20, 2003",1,Kansas
4,Scottie Barnes,PF,6-7,227,"August 1, 2001",3,Florida State
14,Ja'Kobe Walter,SG,6-5,180,"September 4, 2004",R,Baylor
24,Bruno Fernando,C,6-9,240,"August 15, 1998",5,Maryland
17,Garrett Temple,SG,6-5,195,"May 8, 1986",14,LSU
41,Kelly Olynyk,C,6-11,240,"April 19, 1991",11,Gonzaga
5,Immanuel Quickley,PG,6-3,190,"June 17, 1999",4,Kentucky
22,Ulrich Chomche  (TW),PF,6-10,235,"December 30, 2005",R,
0,A.J. Lawson  (TW),SG,6-6,179,"July 15, 2000",2,South Carolina
,Bruce Brown,PG,6-4,202,"August 15, 1996",6,Miami (FL)
0,Anthony Black,PG,6-7,198,"January 20, 2004",1,Arkansas
21,Moritz Wagner,C,6-11,245,"April 26, 1997",6,Michigan
3,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",11,Georgia
4,Jalen Suggs,PG,6-5,205,"June 3, 2001",3,Gonzaga
13,Jett Howard,SF,6-8,215,"September 14, 2003",1,Michigan
50,Cole Anthony,PG,6-2,185,"May 15, 2000",4,UNC
23,Tristan Da Silva,SF,6-8,217,"May 15, 2001",R,Colorado
35,Goga Bitadze,C,6-11,250,"July 20, 1999",5,
22,Franz Wagner,SF,6-10,225,"August 27, 2001",3,Michigan
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",5,Florida State
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",2,Michigan
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",6,Duke
14,Gary Harris,SG,6-4,210,"September 14, 1994",10,Michigan State
10,Cory Joseph,PG,6-2,200,"August 20, 1991",13,Texas
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",2,Duke
12,Trevelin Queen  (TW),SG,6-6,190,"February 25, 1997",3,"College of Marin, New Mexico Military Institute, New Mexico State"
8,Mac McClung  (TW),SG,6-2,185,"January 6, 1999",2,"Georgetown, Texas Tech"
14,Tyler Herro,SG,6-5,195,"January 20, 2000",5,Kentucky
13,Bam Adebayo,C,6-9,255,"July 18, 1997",7,Kentucky
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",6,"Williams, Michigan"
24,Haywood Highsmith,SF,6-7,220,"December 9, 1996",4,Wheeling University
2,Terry Rozier,PG,6-1,190,"March 17, 1994",9,Louisville
11,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",1,UCLA
22,Jimmy Butler,PF,6-7,230,"September 14, 1989",13,"Tyler Junior College, Marquette"
5,Nikola Jović,PF,6-10,209,"June 9, 2003",2,
9,Pelle Larsson,SG,6-5,215,"February 23, 2001",R,"Utah, Arizona"
42,Kevin Love,PF,6-8,251,"September 7, 1988",16,UCLA
12,Dru Smith  (TW),SG,6-3,203,"December 30, 1997",2,"University of Evansville, Missouri"
18,Alec Burks,SG,6-6,214,"July 20, 1991",13,Colorado
7,Kel'el Ware,C,7-0,230,"April 20, 2004",R,"Oregon, Indiana"
0,Josh Richardson,SG,6-5,200,"September 15, 1993",9,Tennessee
16,Keshad Johnson  (TW),SF,6-6,225,"June 23, 2001",R,"San Diego State, Arizona"
8,Josh Christopher  (TW),SG,6-5,215,"December 8, 2001",2,Arizona State
10,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",R,
15,Clint Capela,C,6-10,240,"May 18, 1994",10,
11,Trae Young,PG,6-1,164,"September 19, 1998",6,Oklahoma
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",3,Duke
5,Dyson Daniels,SG,6-8,199,"March 17, 2003",2,
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",4,USC
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",5,Lipscomb
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",5,Virginia
8,David Roddy,PF,6-4,255,"March 27, 2001",2,Colorado State
27,Vit Krejci,PG,6-8,195,"June 19, 2000",3,
13,Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",7,
2,Keaton Wallace  (TW),PG,6-3,195,"February 26, 1999",R,Texas-San Antonio
22,Larry Nance Jr.,PF,6-8,245,"January 1, 1993",9,Wyoming
4,Kobe Bufkin,SG,6-4,195,"September 21, 2003",1,Michigan
0,Dominick Barlow  (TW),SF,6-9,221,"May 26, 2003",2,
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",1,Washington State
,Cody Zeller,C,6-11,240,"October 5, 1992",11,Indiana
11,Cody Martin,SF,6-5,205,"September 28, 1995",5,"NC State, Nevada"
